"","decreased","thetaType","thetaToken","target1","target2","target3","target4","target5","target6","typesd","tokensd"
"1",0,0.20620346525684,0.139520847646316,0.487704068288329,0.476164814161757,0.269543450136266,0.32049359494122,0.574235282173514,0.591092539783318,0.018238982995972,0.00607966099865735
"2",1,0.327305237017572,0.123270823917683,0.241881429111726,0.158210596675436,0.115672171080719,0.116246228045461,0.2458491946196,0.268129538080971,0.0134018524549901,0.00446728415166338
"3",1,0.18035571211949,0.135381431122556,0.1938559387592,0.188572912358132,0.175165741886583,0.184204618606711,0.205455883720864,0.230144894396351,0.0392189676128328,0.0130729892042776
"4",1,0.13217879999429,0.124075386125159,0.306323443460719,0.258856416512267,0.191844610470334,0.256257544289454,0.311396198683848,0.316917330085732,0.0212621632311493,0.00708738774371644
"5",1,0.105039191059768,0.101194807918817,0.23413443264063,0.183857529186871,0.146037064526041,0.171469887092344,0.241615358882718,0.281407163882089,0.0170153454784304,0.00567178182614346
"6",0,0.216005556005985,0.1409501733637,0.467470060568473,0.460785563650639,0.264406277603683,0.352097600825471,0.551579585625358,0.599668018434808,0.0382390113454312,0.0127463371151437
"7",0,0.381151609215885,0.26199000959217,0.428883065040581,0.370416951768781,0.28713930596774,0.328171456294631,0.485969578374786,0.494273504585018,0.0404683996643871,0.0134894665547957
"8",1,0.248179503716528,0.157232151412631,0.43704071800334,0.410094417194561,0.325585042203203,0.338223681280808,0.437676974147509,0.442346084557505,0.0314302666112781,0.0104767555370927
"9",0,0.35772509034723,0.20302933380316,0.364479549007459,0.281054854986219,0.256732598001412,0.25970386857103,0.382135018357569,0.468870766860751,0.047206562878564,0.0157355209595213
"10",1,0.249185367114842,0.179174534348793,0.17581734240373,0.174140703714992,0.166668756123626,0.17028795251267,0.247881170652135,0.263572961056596,0.0206310710124671,0.00687702367082238
"11",0,0.112558964733034,0.102329782285709,0.258924896390231,0.235558375142185,0.176019200960018,0.2015495926038,0.261196197584944,0.347544396302793,0.0390489616524428,0.0130163205508143
"12",0,0.424623040203005,0.287195354275961,0.43503314329104,0.291772844355611,0.192332668779616,0.257824535723122,0.438846550151646,0.479067546268727,0.0325374150276184,0.0108458050092061
"13",1,0.431703558471054,0.344636329590193,0.347049040503804,0.339301660380602,0.333468797967135,0.334322947092909,0.347998987588112,0.363167959760408,0.0471755830105394,0.0157251943368465
"14",0,0.197141264472157,0.178212102252529,0.234853594233607,0.230117241588056,0.143556824724451,0.193254178262692,0.361565145257855,0.369581284619957,0.0231189573835582,0.00770631912785272
"15",0,0.350603224430233,0.329002889517232,0.505236527935809,0.500187815564989,0.494427042616846,0.49799967665297,0.506117511896163,0.50616850848488,0.0449894244596362,0.0149964748198787
"16",1,0.347499250434339,0.215506527192203,0.64687072706928,0.60855572166806,0.563398765906903,0.592281233411261,0.663180933227966,0.673167690002594,0.0227563447784632,0.00758544825948775
"17",0,0.286377557553351,0.169888584053595,0.476774441727918,0.476672787192669,0.436472044615672,0.462529450684356,0.504664032468535,0.600240186688186,0.0153976718895137,0.00513255729650458
"18",0,0.481377992965281,0.247125693643926,0.546721735441529,0.354881147723575,0.25704209118976,0.286347842519547,0.566964132962723,0.572579118213876,0.0214871435519308,0.00716238118397693
"19",1,0.348639044258744,0.271793767261733,0.360268575094209,0.316981025821567,0.218636936966056,0.222887028931925,0.379837151627877,0.379937499021684,0.0290875410847366,0.00969584702824553
"20",0,0.225882880017161,0.155333880392375,0.56166959407194,0.441780021950846,0.424185163074107,0.433074361368696,0.614382913897461,0.634762988558017,0.0424005761742592,0.0141335253914197
"21",0,0.177415827475488,0.122051412900164,0.532537895295459,0.490125011255233,0.326273067496568,0.431173362893824,0.547842854495476,0.568918351630758,0.0241470725275576,0.00804902417585254
"22",0,0.212724695447832,0.210122083242691,0.493366028680845,0.4538581336596,0.260791383387685,0.431097541092539,0.515039575001692,0.579077086277598,0.0341413664352149,0.011380455478405
"23",1,0.405236850678921,0.150187877843831,0.263962337039099,0.255080774789914,0.116594497465252,0.16671040976204,0.279576204078335,0.284614271216511,0.0243991546425968,0.00813305154753228
"24",0,0.192988634016365,0.125131337543428,0.618792776460971,0.566728399109352,0.478276406374008,0.511682829295823,0.694798358492679,0.695021005883793,0.0135164034366608,0.00450546781222026
"25",0,0.251727124303579,0.159521081512062,0.519334846445445,0.456357372158074,0.426362277260317,0.440355779950902,0.571575903865478,0.612763821183137,0.0292734278738499,0.00975780929128329
"26",1,0.31764774248004,0.252897754236252,0.418611879885479,0.388326069342022,0.359169420218434,0.378364019534777,0.422390530885915,0.428484193418913,0.033031406737864,0.0110104689126213
"27",1,0.35196238970384,0.193647356574436,0.414388604635534,0.313881950837849,0.27326099257952,0.289099480264926,0.441308293257706,0.451424790214972,0.0159645542968065,0.00532151809893548
"28",0,0.148609620612115,0.123361664077031,0.45057277861564,0.437806458285613,0.423543045762353,0.434466558080233,0.463462838954594,0.473305032759456,0.0498232470918447,0.0166077490306149
"29",0,0.350186943076551,0.205390553410677,0.4894400684706,0.489035559036113,0.486883368344479,0.48900427534385,0.495846955764753,0.499364125872364,0.0249274241924286,0.0083091413974762
"30",1,0.215379149094224,0.18178231591866,0.254162508675543,0.22802967938661,0.19358789137565,0.213445012577406,0.256151080288193,0.27093958695944,0.0321116164047271,0.010703872134909
"31",0,0.172240375634283,0.155991474896649,0.514986284910082,0.513630364954942,0.498319881836249,0.506960400476896,0.5174637282695,0.51867223568909,0.0206941207963973,0.00689804026546578
"32",0,0.162701594363898,0.137747213253185,0.475714070621683,0.433684529185852,0.332468405326715,0.395598037245181,0.508193555136818,0.525268497180365,0.024111349619925,0.00803711653997501
"33",1,0.299158057570457,0.285153659670109,0.568015397938802,0.566311012146869,0.559759266500579,0.559906129527791,0.568155299931427,0.576274860850501,0.0404086392838508,0.0134695464279503
"34",0,0.2725416473113,0.236559122808914,0.504367343445442,0.486751526872447,0.456464856071438,0.476990114727073,0.538311369414021,0.543418872735934,0.0400529174599797,0.0133509724866599
"35",0,0.397073436435312,0.348118595539806,0.515947907551562,0.487785484587888,0.469616687590717,0.481372262719307,0.539475416154119,0.542928627774329,0.0104604630451649,0.00348682101505498
"36",0,0.185279515665025,0.142911305047696,0.490434395795375,0.458637296302707,0.434946001268417,0.451779985759203,0.515155808315839,0.523457202901642,0.0313157167751342,0.0104385722583781
"37",0,0.426997071597725,0.351547780600375,0.617569624574421,0.508780141847005,0.466074437804962,0.50340980482877,0.64080710361682,0.672877791668353,0.0134667454939336,0.00448891516464452
"38",0,0.384321643318981,0.148445136329113,0.252646053959743,0.192508186389745,0.04257861008279,0.188914424007496,0.390393104048964,0.400557258169909,0.0236494672112167,0.00788315573707223
"39",1,0.374555760715157,0.138028691109883,0.378092595627947,0.377492410655579,0.366243149691779,0.36694068753924,0.378648546036639,0.388556315541121,0.0392885631415993,0.0130961877138664
"40",1,0.256016532424837,0.181242812841768,0.384827460543248,0.381051629794843,0.363152946687089,0.36725195192412,0.385721768617386,0.402492850007387,0.0134216500725597,0.0044738833575199
"41",0,0.26230592969805,0.259034560640878,0.670899321995584,0.663222548298371,0.497482217894626,0.523336336479382,0.683648953796771,0.727020955111047,0.0387409019470215,0.0129136339823405
"42",1,0.323467399831861,0.107472400344794,0.28151566190595,0.266995059297236,0.177542669791391,0.223429672358868,0.285752240548081,0.310927516861805,0.0241142946202308,0.0080380982067436
"43",0,0.30881930924952,0.203384625808004,0.466801516183299,0.453000479501536,0.219491494063901,0.423870742138322,0.527757830372258,0.547222936111737,0.0494548508431762,0.0164849502810587
"44",0,0.449426931142807,0.447147368663786,0.524284573701513,0.515632169704708,0.450882163266181,0.501815397055408,0.52726158399749,0.528758607920997,0.0460693343076855,0.0153564447692285
"45",1,0.440992745850235,0.382788165518615,0.318532217384079,0.213693875735157,0.055991059940179,0.120852551354702,0.33841684310099,0.378864580439584,0.0187270857486874,0.00624236191622913
"46",0,0.396502983104438,0.176693482335244,0.618360119261426,0.605231348261536,0.425201483573254,0.551622596676408,0.640364387511378,0.677715592644012,0.0364604272227734,0.0121534757409245
"47",0,0.4693024860695,0.399423770841007,0.579593859920193,0.55802498499873,0.514285728957575,0.546000921636095,0.583582621063142,0.636790115312563,0.04660519503057,0.01553506501019
