"","decreased","thetaType","thetaToken","target1","target2","target3","target4","typesd","tokensd"
"1",0,0.20620346525684,0.139520847646316,0.487704068288329,0.574235282173514,0.32049359494122,0.591092539783318,0.0666202639508992,0.0111033773251499
"2",0,0.193835034128279,0.142036254850195,0.491938694400065,0.514020442187585,0.371229210668721,0.545538031411276,0.0644138073176146,0.0107356345529358
"3",0,0.107633883692324,0.103142266305481,0.169948964741063,0.304921648957357,0.150504827173665,0.320275302760731,0.043550759521313,0.00725845992021884
"4",0,0.122664423659444,0.120631129919034,0.262737045826392,0.263397157125458,0.261223418125633,0.280082117797676,0.0531690897187218,0.0088615149531203
"5",0,0.152855887170881,0.109644248199125,0.327014048454331,0.391125330110996,0.299651526007853,0.412260172601257,0.0324816920794547,0.00541361534657578
"6",0,0.258906637039036,0.22207532851497,0.317188264189082,0.433126515197737,0.299205177314129,0.467966603435508,0.0290169734158553,0.00483616223597589
"7",1,0.337122184969485,0.276973547010606,0.239061187235031,0.286018874867853,0.222641272950831,0.293403108808908,0.0191926880599931,0.00319878134333218
"8",1,0.438173484243453,0.348506078587406,0.361855568159728,0.367605712844884,0.357775804153679,0.468995715520327,0.0773055041814223,0.0128842506969037
"9",0,0.156524800509214,0.13934303748097,0.421776633007686,0.606961459376719,0.41788545863037,0.696492484850644,0.0526957291550934,0.00878262152584891
"10",0,0.127686162758619,0.100723526524451,0.351107474753759,0.359448828320534,0.343658569278325,0.360131240756689,0.095584762620274,0.0159307937700457
"11",0,0.29822188867256,0.280281398090329,0.280850844849057,0.325396782447051,0.274584565220775,0.355057223408665,0.056361771451775,0.00939362857529583
"12",1,0.34688655147329,0.223705435783921,0.166250583011054,0.217614295664156,0.147217462664267,0.29010035979272,0.0386241985135712,0.00643736641892853
"13",1,0.208910525217652,0.18663569783227,0.503088778301127,0.504780075656436,0.500006591847408,0.64210830911716,0.0419025507778861,0.00698375846298101
"14",1,0.168724558595568,0.139924327209204,0.483911665776817,0.501022594285342,0.475903482255941,0.515609434651645,0.0279877307964489,0.00466462179940815
"15",1,0.460246622189879,0.402752046325137,0.349929868791269,0.354203762905114,0.33971039250361,0.358605651010136,0.0574914559884928,0.00958190933141547
"16",1,0.440132793877274,0.197687197104715,0.292448026726014,0.352003115435142,0.201765567648669,0.372606691328005,0.0118284153030254,0.00197140255050423
"17",1,0.378440487105399,0.348995547800834,0.176861517891295,0.19435206271961,0.17245813017458,0.2115331130167,0.0549353449326009,0.00915589082210014
"18",1,0.214888069871813,0.127432411372902,0.212615580669652,0.220846471475177,0.0945381564140455,0.254696736557581,0.0513039333280176,0.0085506555546696
"19",1,0.43195794839412,0.417671633117319,0.474773087884133,0.47976472461924,0.381087432519002,0.554088019818109,0.0172643847158179,0.00287739745263631
"20",1,0.273708006087691,0.106682932921029,0.528387769416434,0.534268065455826,0.403578600041173,0.657100866258985,0.0647055362723768,0.0107842560453961
"21",0,0.145854054763913,0.12095345544938,0.573565936503253,0.63062980295204,0.547837894608937,0.6373525253196,0.0499976842943579,0.00833294738239298
"22",0,0.335522569250315,0.195461166054657,0.263277675753358,0.418257595901165,0.145648461133789,0.519038531741851,0.0101397968176752,0.00168996613627921
"23",0,0.426006469037384,0.191020857455443,0.510947403320119,0.574792337092393,0.5008203110001,0.696313508125364,0.0405160587257706,0.00675267645429509
"24",1,0.26471902448684,0.244460424563773,0.394226507348166,0.401825514087312,0.393175476799422,0.404175476460142,0.0317925560148433,0.00529875933580721
"25",1,0.436393257416785,0.253840616328035,0.248622703940084,0.257714000374163,0.222967621886474,0.275583708732252,0.0943669150467031,0.0157278191744505
